review_id,text,category,rating,sentiment,sarcasm,version,source,language
7bb2c0f7-87aa-47b6-9c67-aac5102c1191,มาลองชาบู/ปิ้งย่างร้านนี้ตอนนั่งชิล. แนะนำเมนูดี / ได้อาหารเร็ว / พอรับได้ / มีที่จอด / กลมกล่อม. ซ้ำได้ ประมาณนั้น 😊,ชาบู/ปิ้งย่าง,4,Positive,FALSE,noisy,synthetic_wongnai_like_hard,th
ad8fa165-561d-4e77-897a-4116476d81fd,"ไม่ได้ดีขนาดนั้น มาลองคาเฟ่ร้านนี้ตอนมื้อเช้า. สื่อสารงงๆ / ไม่ได้ช้า / โต๊ะชิดไป / ราคาแรงไป. คนรอคิว, ราคาแพง, ความเร็วเร็ว, ที่จอดน้อย. ไม่น่าซ้ำ 😤",คาเฟ่,1,Negative,FALSE,noisy,synthetic_wongnai_like_hard,th
3d35ed74-d0d0-40bb-81e9-0f403e2620e3,ไม่ได้แย่แต่ก็ไม่ได้ปัง แวะมากินเค้กที่ร้านอาหารอีสาน. ตามมาตรฐาน / ไม่ได้พิเศษ แต่ก็ หาที่จอดยาก. โดยรวมก็โอเค้ 🫠,อาหารอีสาน,3,Neutral,FALSE,noisy,synthetic_wongnai_like_hard,th
3136c34b-8e48-4414-b283-18b10519985b,"แวะมากินผัดกะเพราที่ร้านอาหารใต้. ม่ายด้ายพิเศษ / กลมกล่อม ทว่า รอพอสมควร / ราคาแรงไป. คนกำลังพอดี, ราคาถูก, ความเร็วช้า, มีที่จอด. ถ้าผ่านแถวนี้ค่อยแวะ 🙂",อาหารใต้,3,Neutral,FALSE,noisy,synthetic_wongnai_like_hard,th
20bf1d34-70ff-48db-96b1-09f6ce7d8088,ประทับใจม้ากกก (ประชด) แวะม้ากินข้าวมันไก่ที่ร้านก๋วยเตี๋ยว. วัตถุดิบโอเค / นั่งได้เรื่อยๆ / เสิร์ฟไว. แนะนำเลย ไม่ไหว 👍สุดๆ,ก๋วยเตี๋ยว,5,Positive,TRUE,noisy,synthetic_wongnai_like_hard,th
d26da2eb-1241-451d-bf30-f4174e8fad94,"ไม่ถึงกับว้าว สั่งชาบูแบบของหวานจากร้านเบเกอรี่. อร่อยกำลังดี / ต้องวนหานิดนึง / ร้านน่านั่ง / ทำไว. คนไม่ค่อยมีคน, ราคาค่อนข้างแพง, ความเร็วปกติ, จอดริมทางได้. แนะนำเลย",เบเกอรี่,4,Positive,FALSE,noisy,synthetic_wongnai_like_hard,th
6e6d590a-db4e-4f96-8756-09b9bc95f43d,"แวะมากินติ่มซำที่ร้านอาหารญี่ปุ่น. เสิร์ฟไว / ดูแลดี แต่อย่างนึง แสงดีถ่ายรูปได้ / รสชาติดีมาก / พอรับได้. คนไม่ค่อยมีคน, ราคากลางๆ, ความเร็วช้า, มีที่จอด. โดยรวมชอบนะ ไว้มาอีก",อาหารญี่ปุ่น,5,Positive,FALSE,clean,synthetic_wongnai_like_hard,th
60024264-e9d1-434d-abff-a602443d1765,"wow เก่งจัง มาลองเครื่องดื่มร้านนี้ตอนมื้อเที่ยง. ห้องน้ำควรปรับปรุง / จอดลำบาก / ตกแต่งสวย / ก็ตามมาตรฐาน. คนไม่ค่อยมีคน, ราคากลางๆ, ความเร็วปกติ, หาที่จอดยาก. หวังว่าจะปรับปรุงนะ ไม่ซ้ำละ 🥲",เครื่องดื่ม,2,Negative,TRUE,noisy,synthetic_wongnai_like_hard,th
e4324219-0dc2-4699-a8f7-bf6accf2cae2,มาลองคาเฟ่ร้านนี้ตอนมื้อเย็น. ที่จอดพอมี / บรรยากาศดี แต่ก็ แนะนำเมนูดี / ไม่แพง. แนะนำเลย 😍,คาเฟ่,4,Positive,FALSE,noisy,synthetic_wongnai_like_hard,th
411c320a-f2ec-430c-8856-11fe34b23f39,"สั่งเค้กแบบนั่งชิลจากร้านคาเฟ่. มาตรฐาน / รับได้ / เสียงดัง. คนกำลังพอดี, ราคาแพง, ความเร็วช้า, หาที่จอดยาก. ไม่น่าซ้ำ",คาเฟ่,1,Negative,FALSE,noisy,synthetic_wongnai_like_hard,th
